old_path,new_path
/resources/danville-illinois-sales-tax,/sales-tax-calculator/danville-illinois
/resources/darrington-washington-sales-tax,/sales-tax-calculator/darrington-washington
/resources/davis-california-sales-tax,/sales-tax-calculator/davis-california
/resources/dayton-texas-sales-tax,/sales-tax-calculator/dayton-texas
/resources/de-motte-indiana-sales-tax,/sales-tax-calculator/demotte-indiana
/resources/delaware-ohio-sales-tax,/sales-tax-calculator/delaware-ohio
/resources/dellroy-village-ohio-sales-tax,/sales-tax-calculator/dellroy-ohio
/resources/denton-georgia-sales-tax,/sales-tax-calculator/denton-georgia
/resources/detroit-texas-sales-tax,/sales-tax-calculator/detroit-texas
/resources/devol-oklahoma-sales-tax,/sales-tax-calculator/devol-oklahoma
/resources/dewey-oklahoma-sales-tax,/sales-tax-calculator/dewey-oklahoma
/resources/dieterich-village-illinois-sales-tax,/sales-tax-calculator/dieterich-illinois
/resources/dilley-texas-sales-tax,/sales-tax-calculator/dilley-texas
/resources/district-heights-maryland-sales-tax,/sales-tax-calculator/district-heights-maryland
/resources/doniphan-missouri-sales-tax,/sales-tax-calculator/doniphan-missouri
/resources/douglas-michigan-sales-tax,/sales-tax-calculator/douglas-michigan
/resources/downs-village-illinois-sales-tax,/sales-tax-calculator/downs-illinois
/resources/dublin-ohio-sales-tax,/sales-tax-calculator/dublin-ohio
/resources/dunkirk-new-york-sales-tax,/sales-tax-calculator/dunkirk-new-york
/resources/eagle-village-nebraska-sales-tax,/sales-tax-calculator/eagle-nebraska
/resources/east-lansing-michigan-sales-tax,/sales-tax-calculator/east-lansing-michigan
/resources/east-rutherford-borough-new-jersey-sales-tax,/sales-tax-calculator/east-rutherford-new-jersey
/resources/eden-north-carolina-sales-tax,/sales-tax-calculator/eden-north-carolina
/resources/electric-city-washington-sales-tax,/sales-tax-calculator/electric-city-washington
/resources/eleva-wisconsin-sales-tax,/sales-tax-calculator/eleva-wisconsin
/resources/elgin-texas-sales-tax,/sales-tax-calculator/elgin-texas
/resources/elizabethtown-kentucky-sales-tax,/sales-tax-calculator/elizabethtown-kentucky
/resources/ellensburg-washington-sales-tax,/sales-tax-calculator/ellensburg-washington
/resources/embarrass-wisconsin-sales-tax,/sales-tax-calculator/embarrass-wisconsin
/resources/emeryville-california-sales-tax,/sales-tax-calculator/emeryville-california
/resources/enumclaw-washington-sales-tax,/sales-tax-calculator/enumclaw-washington
/resources/erie-pennsylvania-sales-tax,/sales-tax-calculator/erie-pennsylvania
/resources/erwin-north-carolina-sales-tax,/sales-tax-calculator/erwin-north-carolina
/resources/eureka-california-sales-tax,/sales-tax-calculator/eureka-california
/resources/exeter-missouri-sales-tax,/sales-tax-calculator/exeter-missouri
/resources/fair-play-missouri-sales-tax,/sales-tax-calculator/fair-play-missouri
/resources/fairfield-texas-sales-tax,/sales-tax-calculator/fairfield-texas
/resources/fairplay-colorado-sales-tax,/sales-tax-calculator/fairplay-colorado
/resources/farmersville-california-sales-tax,/sales-tax-calculator/farmersville-california
/resources/federal-way-washington-sales-tax,/sales-tax-calculator/federal-way-washington
/resources/federalsburg-maryland-sales-tax,/sales-tax-calculator/federalsburg-maryland
/resources/fitchburg-massachusetts-sales-tax,/sales-tax-calculator/fitchburg-massachusetts
/resources/flagstaff-arizona-sales-tax,/sales-tax-calculator/flagstaff-arizona
/resources/flatonia-texas-sales-tax,/sales-tax-calculator/flatonia-texas
